-16920,6120,13416
-18800,6556,15888
-18808,9072,16364
-8992,6584,10580
-9112,2188,10408
-14841,-1,-1
2044,11064,2800
-17148,3208,16992
-15036,-5108,5732
-12076,-4356,8612
-10112,-408,10352
-15776,-10664,5228
-14636,-9348,10936
-12952,-3584,7964
-12300,6948,10756
-15820,6576,12576
-11904,8892,11120
-13096,10652,11600
-14924,7880,12116
-14480,-7236,6388
-14528,-8760,6268
-8272,2904,11004
-17304,8456,13444
-18812,13024,16264
-13260,8840,11324
-8848,4056,11008
-16232,1876,14120
-14828,-9300,7176
-8844,2688,10776
-16596,3315,-1
-8984,2632,10944
-8360,2900,11212
2,255,-8184
-18800,8952,17220
-18356,10276,17780
-18288,9792,17772
-17548,-19104,1780
-16084,9100,12944
-17592,-18888,1848
-18788,12732,16688
-8272,4296,11160
-17192,-16848,3004
-15092,-5436,10208
-14936,11172,12372
-12034,-6147,2050
-10848,9620,11100
252,-23292,-28681
-8164,7264,10940
-17584,-21412,668
-18024,8300,14260
-8536,3812,11204
-17188,11164,13624
-8036,7872,10816
-15544,-13960,5340
-11456,9260,11036
-16932,3640,15324
-14948,-4448,10300
-18644,10124,17772
-15876,756,13032
-8192,6896,10884
-17420,-20172,976
-17204,6840,16248
-13068,8760,11380
-16752,-15180,3704
-17528,-21084,1032
-17724,12732,14308
-15248,-11512,5832
-9616,1236,10440
-18184,12344,14460
-14492,-9636,6360
-8020,6220,10964
-15160,-12652,6204
-18120,8381,-258
-17480,-20624,764
-7937,-30212,31495
-10980,9232,10900
-14448,8360,12108
-17592,8352,17608
-10096,8712,10872
-13984,11228,12140
2,12032,30985
-18436,7428,17728
252,13570,30202
-18700,12452,17504
8444,-19200,7421
-8028,7436,10672
-15444,-3760,10864
-17436,-20316,1536
-17432,-18788,1852
-7940,5704,10856
-7904,5488,11012
-9712,9132,10756
-12848,10464,11588
252,-11265,-4100
-8216,7440,10624
-13440,-7744,7344
-8668,2768,10888
-9412,1068,10528
-16992,-18252,1912
-10652,8736,10768
